kid,schlag ,k.typ,ko.a,ko.d,w.t,w.b,k.z,block,aves,mamm,invert,fl.kot,q.typ,fl.art,fl.ges,fl.m,fl.w,fl.ad,fl.juv
hk017,hk,bgk,13,NA,NA,NA,i,n,tm.m,n,n,1,0,n,0,0,0,0,0
hk018,hk,NA,10,2,27,s,i,n,k.m,n,n,1,5,M.nattereri,2,0,2,1,1
hk019,hk,sfk,13,NA,NA,NA,i,n,nv.m,n,n,0,0,n,0,0,0,0,0
hk020,hk,sfk,13,NA,NA,NA,i,n,nv.m,n,n,0,0,n,0,0,0,0,0
ho001,ho,mk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
ho001,ho,mk,11,1,27,s,lb,n,m,n,n,1,5,M.nattereri,0,0,0,0,0
ho002,ho,bgk,10,2,27,s,i,b,k.m,n,s,0,0,n,0,0,0,0,0
ho003,ho,sfk,13,NA,NA,NA,i,n,n,n,wn,1,0,n,0,0,0,0,0
ho004,ho,bgk,10,2,27,s,i,n,m,n,n,1,0,n,0,0,0,0,0
ho005,ho,bgk,10,4,21,b,i,n,m.k,n,n,1,0,n,0,0,0,0,0
ho005,ho,bgk,13,NA,NA,NA,i,ne,tm.m,n,n,1,0,n,0,0,0,0,0
ho006,ho,mk,10,4,21,b,i,n,k,n,n,1,0,n,0,0,0,0,0
ho006,ho,mk,13,NA,NA,NA,i,n,k,n,n,1,0,n,0,0,0,0,0
ho007,ho,mk,10,4,21,b,lb,n,m.k,n,n,1,0,n,0,0,0,0,0
ho007,ho,mk,13,NA,NA,NA,i,n,m,n,n,1,0,n,0,0,0,0,0
ho009,ho,bgk,10,5,23,w,i,n,k.m,n,n,1,0,n,0,0,0,0,0
ho009,ho,bgk,13,NA,NA,NA,i,ne,m,n,n,1,0,n,0,0,0,0,0
ho010,ho,bgk,10,5,23,w,i,n,k.m,n,n,0,0,n,0,0,0,0,0
ho010,ho,bgk,13,NA,NA,NA,i,ne,k.m,n,n,1,0,n,0,0,0,0,0
ho011,ho,bgk,10,5,23,w,i,n,k.m,n,n,0,0,n,0,0,0,0,0
ho013,ho,NA,13,NA,NA,NA,NA,ne,m,n,n,0,0,n,0,0,0,0,0
ho014,ho,NA,13,NA,NA,NA,sb,n,k.m,n,n,1,0,n,0,0,0,0,0
ho015,ho,bgk,10,2,27,s,i,n,m,n,n,1,0,n,0,0,0,0,0
ho016,ho,bgk,10,2,27,s,i,n,k,n,n,0,0,n,0,0,0,0,0
hz001,hz,dk,10,5,23,w,i,n,m,n,n,1,0,n,0,0,0,0,0
hz001,hz,dk,12,1,13,b,i,n,m,n,n,1,0,n,0,0,0,0,0
hz002,hz,dk,10,5,23,w,i,i,m,n,hu,NA,0,n,0,0,0,0,0
hz002,hz,dk,12,1,13,b,i,n,m,n,n,1,0,n,0,0,0,0,0
hz003,hz,dk,12,1,13,b,i,n,m,n,n,1,0,n,0,0,0,0,0
hz004,hz,bgk,11,1,27,s,lb,n,k,n,n,1,5,M.nattereri,1,1,0,1,0
hz005,hz,fk,10,5,23,w,i,n,n,n ,n,1,0,n,0,0,0,0,0
hz005,hz,fk,12,1,13,b,sb,n,n,n,n,1,0,n,0,0,0,0,0
hz006,hz,mk,12,1,13,b,i,n,m,n,n,1,0,n,0,0,0,0,0
hz007,hz,bgk,12,1,13,b,sb,n,m,n,n,0,0,n,0,0,0,0,0
hz008,hz,mk,11,1,27,s,lb,n,m,n,n,1,0,n,0,0,0,0,0
hz009,hz,mk,12,1,13,b,sb,n,m,hm,n,0,0,n,0,0,0,0,0
hz022,hz,bgk,12,1,13,b,i,n,m.k,n,n,1,0,n,0,0,0,0,0
hz023,hz,svk,10,5,23,w,i,n,k,n,n,1,0,n,0,0,0,0,0
hz023,hz,svk,12,1,13,b,i,n,k,n,n,1,0,n,0,0,0,0,0
hz024,hz,bgk,10,5,23,w,i,n,tm,n,n,NA,0,n,0,0,0,0,0
