kid,schlag,knr,ktyp,gpsr,gpsh,koa,kod,wt,wb,kz,vn,aves,mamm,invert,flkot,qtyp,flart,flges,flm,flw,flad,fljuv,sonstiges
m035,m,D4,bgk,4468117,5393409,10,3,35,s,i,1,1,1,1,0,0,0,0,0,0,0,0,0
m036,m,fehlt,hfk,4468091,5393595,10,3,35,s,i,1,5,0,0,0,0,0,0,0,0,0,0,0
m036,m,fehlt,hfk,4468091,5393595,13,NA,NA,NA,sb,1,1,0,0,1,0,0,0,0,0,0,0,0
m037,m,fehlt,NA,NA,NA,13,NA,NA,NA,NA,1,2,0,0,1,0,0,0,0,0,0,0,0
m038,m,fehlt,NA,NA,NA,13,NA,NA,NA,i,0,0,0,0,1,0,0,0,0,0,0,0,0
m039,m,fehlt,NA,NA,NA,13,NA,NA,NA,i,2,2,0,0,1,0,0,0,0,0,0,0,4
m040,m,IF,fk,4468224,5393146,10,3,35,s,i,0,0,0,0,1,0,0,0,0,0,0,0,0
m040,m,IF,fk,4468224,5393146,13,NA,NA,NA,sb,1,0,0,1,0,0,0,0,0,0,0,0,0
m041,m,M2,mk,NA,NA,13,NA,NA,NA,lb,0,0,0,0,1,2,M.myotis,1,1,0,1,0,9
m042,m,M3,mk,NA,NA,13,NA,NA,NA,lb,1,3,0,0,1,0,0,0,0,0,0,0,0
m047,m,m047,mk,NA,NA,15,3,33,s,sb,1,1,0,0,1,5,M.nattereri,12,0,0,0,0,3
